wosarticle__ti	wosarticle__py	docauthinst__AU	wosarticle__doc	wosarticle__di	relevance_netrelevant
How real time pricing modifies Chinese households' electricity consumption	2018	"Wang, HX; <br>Fang, H; <br>Yu, XY; <br>Liang, S"	"<a href=""/scoping/document/47/809099"">809099</a>"	http://dx.doi.org/10.1016/j.jclepro.2017.12.251	0
Exploring innovative community and household energy feedback approaches	2018	"Gupta, R; <br>Barnfield, L; <br>Gregg, M"	"<a href=""/scoping/document/47/809106"">809106</a>"	http://dx.doi.org/10.1080/09613218.2017.1356130	0
Constructing policy success for UK energy feedback	2018	"Robison, RAV; <br>Foulds, C"	"<a href=""/scoping/document/47/809112"">809112</a>"	http://dx.doi.org/10.1080/09613218.2017.1358043	1
Scenario-based system dynamics modeling for the cost recovery of new energy technology deployment: The case of smart metering roll-out	2018	Dehdarian, A	"<a href=""/scoping/document/47/809113"">809113</a>"	http://dx.doi.org/10.1016/j.jclepro.2017.12.253	0
Real-time based approach for intelligent building energy management using dynamic price policies	2018	"Farrokhifar, M; <br>Momayyezi, F; <br>Sadoogi, N; <br>Safari, A"	"<a href=""/scoping/document/47/809122"">809122</a>"	http://dx.doi.org/10.1016/j.scs.2017.11.011	0
Self-consumption through power-to-heat and storage for enhanced PV integration in decentralised energy systems	2018	"Schwarz, H; <br>Schermeyer, H; <br>Bertsch, V; <br>Fichtner, W"	"<a href=""/scoping/document/47/809123"">809123</a>"	http://dx.doi.org/10.1016/j.solener.2018.01.076	0
A review of occupant energy feedback research: Opportunities for methodological fusion at the intersection of experimentation, analytics, surveys and simulation	2018	"Khosrowpour, A; <br>Jain, RK; <br>Taylor, JE; <br>Peschiera, G; <br>Chen, JY; <br>Gulbinas, R"	"<a href=""/scoping/document/47/809126"">809126</a>"	http://dx.doi.org/10.1016/j.apenergy.2018.02.148	3
A qualitative study of healing garden experience. An exploratory study in adult psychiatry	2018	"Pommier, R; <br>Pringuey, D; <br>Pringuey-Criou, F; <br>Boulon, Y; <br>Boyer, S; <br>Massoubre, C"	"<a href=""/scoping/document/47/809131"">809131</a>"	http://dx.doi.org/10.1016/j.amp.2017.06.006	0
A first-principle investigation of the Li diffusion mechanism in the super-ionic conductor lithium orthothioborate Li3BS3 structure	2018	"Bianchini, F; <br>Fjellvag, H; <br>Vajeeston, P"	"<a href=""/scoping/document/47/809138"">809138</a>"	http://dx.doi.org/10.1016/j.matlet.2018.02.083	0
Industrial Consumers' Smart Grid Adoption: Influential Factors and Participation Phases	2018	"Ma, Z; <br>Asmussen, A; <br>Jorgensen, BN"	"<a href=""/scoping/document/47/809141"">809141</a>"	http://dx.doi.org/10.3390/en11010182	0
Life cycle efficiency ratio: A new performance indicator for a life cycle driven approach to evaluate the potential of ventilative cooling and thermal inertia	2018	"Brambilla, A; <br>Bonvin, J; <br>Flourentzou, F; <br>Jusselme, T"	"<a href=""/scoping/document/47/809149"">809149</a>"	http://dx.doi.org/10.1016/j.enbuild.2017.12.010	0
At Home with Sustainability: From Green Default Rules to Sustainable Consumption	2018	Hale, LA	"<a href=""/scoping/document/47/809150"">809150</a>"	http://dx.doi.org/10.3390/su10010249	0
Exploring a potential energy surface by machine learning for characterizing atomic transport	2018	"Kanamori, K; <br>Toyoura, K; <br>Honda, J; <br>Hattori, K; <br>Seko, A; <br>Karasuyama, M; <br>Shitara, K; <br>Shiga, M; <br>Kuwabara, A; <br>Takeuchi, I"	"<a href=""/scoping/document/47/809165"">809165</a>"	http://dx.doi.org/10.1103/PhysRevB.97.125124	0
Energy Management in a Network of Grid-Connected Microgrids/Nanogrids Using Compromise Programming	2018	"Sandgani, MR; <br>Sirouspour, S"	"<a href=""/scoping/document/47/809172"">809172</a>"	http://dx.doi.org/10.1109/TSG.2016.2608281	0
Evaluating Price-Based Demand Response in Practice-With Application to the EcoGrid EU Experiment	2018	"Le Ray, G; <br>Larsen, EM; <br>Pinson, P"	"<a href=""/scoping/document/47/809181"">809181</a>"	http://dx.doi.org/10.1109/TSG.2016.2610518	0
Electrostatic Estimation of Intercalant Jump-Diffusion Barriers Using Finite-Size Ion Models	2018	"Zimmermann, NER; <br>Hannah, DC; <br>Rong, ZQ; <br>Liu, M; <br>Ceder, G; <br>Haranczyk, M; <br>Persson, KA"	"<a href=""/scoping/document/47/809186"">809186</a>"	http://dx.doi.org/10.1021/acs.jpclett.7b03199	0
Dynamic prediction of a building integrated photovoltaic system thermal behaviour	2018	"Assoa, YB; <br>Gaillard, L; <br>Menezo, C; <br>Negri, N; <br>Sauzedde, F"	"<a href=""/scoping/document/47/809195"">809195</a>"	http://dx.doi.org/10.1016/j.apenergy.2018.01.078	0
A smarter electricity grid for the Eastern Province of Saudi Arabia: Perceptions and policy implications	2018	"Dustegor, D; <br>Sultana, N; <br>Felemban, N; <br>Al Qahtani, D"	"<a href=""/scoping/document/47/809205"">809205</a>"	http://dx.doi.org/10.1016/j.jup.2017.09.009	0
An energy scheduling method for multiple users of residential community connected to the grid and wind energy source	2018	"Kakran, S; <br>Chanana, S"	"<a href=""/scoping/document/47/809208"">809208</a>"	http://dx.doi.org/10.1177/0143624417734536	0
A system-level mathematical model of Basal Ganglia motor-circuit for kinematic planning of arm movements	2018	"Salimi-Badr, A; <br>Ebadzadeh, MM; <br>Darlot, C"	"<a href=""/scoping/document/47/809222"">809222</a>"	http://dx.doi.org/10.1016/j.compbiomed.2017.11.004	0
Tuning Charge Carrier Dynamics and Surface Passivation in Organolead Halide Perovskites with Capping Ligands and Metal Oxide Interfaces	2018	"Godin, R; <br>Ma, XR; <br>Gonzalez-Carrero, S; <br>Du, T; <br>Li, XE; <br>Lin, CT; <br>McLachlan, MA; <br>Galian, RE; <br>Perez-Prieto, J; <br>Durrant, JR"	"<a href=""/scoping/document/47/809224"">809224</a>"	http://dx.doi.org/10.1002/adom.201701203	0
Analysis of demand response and photovoltaic distributed generation as resources for power utility planning	2018	"Viana, MS; <br>Manassero, G; <br>Udaeta, MEM"	"<a href=""/scoping/document/47/809227"">809227</a>"	http://dx.doi.org/10.1016/j.apenergy.2018.02.153	0
The Impact of Socio-Economic Indicators on Sustainable Consumption of Domestic Electricity in Lithuania	2018	"Vojtovic, S; <br>Stundziene, A; <br>Kontautiene, R"	"<a href=""/scoping/document/47/809231"">809231</a>"	http://dx.doi.org/10.3390/su10020162	0
Involving occupants in net-zero-energy solar housing retrofits: An Australian sub-tropical case study	2018	"Miller, W; <br>Liu, LA; <br>Amin, Z; <br>Gray, M"	"<a href=""/scoping/document/47/809232"">809232</a>"	http://dx.doi.org/10.1016/j.solener.2017.10.008	0
Framing Energy Efficiency with Payback Period: Empirical Study to Increase Energy Consideration during Facility Procurement Processes	2018	"Delgado, L; <br>Shealy, T; <br>Garvin, M; <br>Pearce, A"	"<a href=""/scoping/document/47/809242"">809242</a>"	http://dx.doi.org/10.1061/(ASCE)CO.1943-7862.0001464	0
Household electricity consumers' incentive to choose dynamic pricing under different taxation schemes	2018	"Katz, J; <br>Kitzing, L; <br>Schroder, ST; <br>Andersen, FM; <br>Morthorst, PE; <br>Stryg, M"	"<a href=""/scoping/document/47/809244"">809244</a>"	http://dx.doi.org/10.1002/wene.270	0
Consumption effects of an electricity decarbonization policy: Hong Kong	2018	"Woo, CK; <br>Shiu, A; <br>Liu, Y; <br>Luo, X; <br>Zarnikau, J"	"<a href=""/scoping/document/47/809247"">809247</a>"	http://dx.doi.org/10.1016/j.energy.2017.12.074	0
Effects of Voluntary Time-of-Use Pricing on Summer Electricity Usage of Business Customers	2018	"Qiu, YM; <br>Kirkeide, L; <br>Wang, YD"	"<a href=""/scoping/document/47/809249"">809249</a>"	http://dx.doi.org/10.1007/s10640-016-0084-5	0
Output feedback nonlinear energy-saving position control of electro-hydraulic asymmetric actuator	2018	"Wang, WP; <br>Zhao, JY; <br>Ding, HG"	"<a href=""/scoping/document/47/809251"">809251</a>"	http://dx.doi.org/10.1177/0959651817746895	0
Techno-economic analysis of household and community energy storage for residential prosumers with smart appliances	2018	"van der Stelt, S; <br>AiSkaif, T; <br>van Sark, W"	"<a href=""/scoping/document/47/809258"">809258</a>"	http://dx.doi.org/10.1016/j.apenergy.2017.10.096	0
Workplace energy conservation at Michigan State University	2018	"Allen, S; <br>Marquart-Pyatt, ST"	"<a href=""/scoping/document/47/809269"">809269</a>"	http://dx.doi.org/10.1108/IJSHE-07-2016-0124	0
Moral Suasion and Economic Incentives: Field Experimental Evidence from Energy Demand	2018	"Ito, K; <br>Ida, T; <br>Tanaka, M"	"<a href=""/scoping/document/47/809272"">809272</a>"	http://dx.doi.org/10.1257/pol.20160093	1
Optimal Offering of Demand Response Aggregation Company in Price-Based Energy and Reserve Market Participation	2018	"Konda, SR; <br>Panwar, LK; <br>Panigrahi, BK; <br>Kumar, R"	"<a href=""/scoping/document/47/809278"">809278</a>"	http://dx.doi.org/10.1109/TII.2017.2726191	0
Cascaded fractional order sliding mode control for trajectory control of a ball and plate system	2018	"Roy, P; <br>Das, A; <br>Roy, BK"	"<a href=""/scoping/document/47/809290"">809290</a>"	http://dx.doi.org/10.1177/0142331216663826	0
Wireless Energy Beamforming Using Received Signal Strength Indicator Feedback	2018	"Abeywickrama, S; <br>Samarasinghe, T; <br>Ho, CK; <br>Yuen, C"	"<a href=""/scoping/document/47/809294"">809294</a>"	http://dx.doi.org/10.1109/TSP.2017.2764854	0
Real-time retail price determination in smart grid from real-time load profiles	2018	"Joseph, S; <br>Abdu, JE"	"<a href=""/scoping/document/47/809295"">809295</a>"	http://dx.doi.org/10.1002/etep.2509	0
Survey about public perception regarding smart grid, energy efficiency & renewable energies applications in Qatar	2018	"Abdmouleh, Z; <br>Gastli, A; <br>Ben-Brahim, L"	"<a href=""/scoping/document/47/809299"">809299</a>"	http://dx.doi.org/10.1016/j.rser.2017.09.023	0
Consumers' perceptions of energy use and energy savings: A literature review	2018	"Lesic, V; <br>de Bruin, WB; <br>Davis, MC; <br>Krishnamurti, T; <br>Azevedo, IML"	"<a href=""/scoping/document/47/809300"">809300</a>"	http://dx.doi.org/10.1088/1748-9326/aaab92	1
Residential electricity consumption behavior: Influencing factors, related theories and intervention strategies	2018	"Guo, ZF; <br>Zhou, KL; <br>Zhang, C; <br>Lu, XH; <br>Chen, W; <br>Yang, SL"	"<a href=""/scoping/document/47/809302"">809302</a>"	http://dx.doi.org/10.1016/j.rser.2017.07.046	0
Event-based scheduling of industrial technical virtual power plant considering wind and market prices stochastic behaviors - A case study in Iran	2018	"Hooshmand, RA; <br>Nosratabadi, SM; <br>Gholipour, E"	"<a href=""/scoping/document/47/809310"">809310</a>"	http://dx.doi.org/10.1016/j.jclepro.2017.12.017	0
A DDS-Based Energy Management Framework for Small Microgrid Operation and Control	2018	"Youssef, TA; <br>El Hariri, M; <br>Elsayed, AT; <br>Mohammed, OA"	"<a href=""/scoping/document/47/809316"">809316</a>"	http://dx.doi.org/10.1109/TII.2017.2756619	0
Longitudinal assessment of the behavior-changing effect of app-based eco-feedback in residential buildings	2018	"Ma, GF; <br>Lin, J; <br>Li, N"	"<a href=""/scoping/document/47/809331"">809331</a>"	http://dx.doi.org/10.1016/j.enbuild.2017.11.019	1
Effectiveness of a weekly feedback on household residual waste reduction	2018	"Meineri, S; <br>Dangeard, I; <br>Dupre, M"	"<a href=""/scoping/document/47/809334"">809334</a>"	http://dx.doi.org/10.1016/j.prps.2016.11.004	0
Residential peak electricity management. A storage and control systems application taking advantages of smart meters	2018	"Núñez, F.; <br>Arcos-Vargas, A.; <br>Lugo, D.; <br>Núñez, F."	"<a href=""/scoping/document/47/809532"">809532</a>"	http://dx.doi.org/10.1016/j.ijepes.2018.04.016	0
The costs and benefits of real-time pricing: An empirical investigation into consumer bills using hourly energy data and prices	2018	"Kolata, D.; <br>Zethmayr, J.; <br>Kolata, D."	"<a href=""/scoping/document/47/809534"">809534</a>"	http://dx.doi.org/10.1016/j.tej.2018.02.006	1
Impact of different time of use electricity pricing structure on residential consumer	2018	"Hussin, S.M.; <br>Azman, N.A.M.; <br>Abdullah, M.P.; <br>Hassan, M.Y.; <br>Said, D.M.; <br>Hussin, F.; <br>Rosmin, N.; <br>Hussin, S.M."	"<a href=""/scoping/document/47/809536"">809536</a>"	http://dx.doi.org/10.11591/ijeecs.v10.i3.pp1053-1060	0
Techno-economic analysis of grid-tied energy storage	2018	"Aboyade, A.O.; <br>Masebinu, S.O.; <br>Akinlabi, E.T.; <br>Muzenda, E.; <br>Aboyade, A.O."	"<a href=""/scoping/document/47/809560"">809560</a>"	http://dx.doi.org/10.1007/s13762-017-1414-z	0
Dynamic linear modeling of monthly electricity demand in Japan: Time variation of electricity conservation effect	2018	"Ashina, S.; <br>Honjo, K.; <br>Shiraki, H.; <br>Ashina, S."	"<a href=""/scoping/document/47/809566"">809566</a>"	http://dx.doi.org/10.1371/journal.pone.0196331	0
A holistic study of energy network hybridization in a Northern European City	2018	"Terreros, O.; <br>Jacobs, T.; <br>Nicolas, S.; <br>Noh, T.-G.; <br>Schuelke, A.; <br>Auer, H.; <br>Schwabeneder, D.; <br>Basciotti, D.; <br>Widl, E.; <br>Henein, S.; <br>Terreros, O."	"<a href=""/scoping/document/47/809567"">809567</a>"	http://dx.doi.org/10.1109/ISGTEurope.2017.8260261	0
Novel Incentive Mechanism for End-Users Enrolled in DLC-based Demand Response Programs within Stochastic Planning Context	2018	"Catalao, J.; <br>Erdinc, O.; <br>Tascikaraoglu, A.; <br>Paterakis, N.; <br>Catalao, J."	"<a href=""/scoping/document/47/809568"">809568</a>"	http://dx.doi.org/10.1109/TIE.2018.2811403	0
Is it more effective to bring time-of-use pricing into increasing block tariffs? Evidence from evaluation of residential electricity price policy in Anhui province	2018	"Zhou, K.; <br>Li, L.; <br>Yao, Y.; <br>Yang, R.; <br>Zhou, K."	"<a href=""/scoping/document/47/809573"">809573</a>"	http://dx.doi.org/10.1016/j.jclepro.2018.01.209	0
Multi agent systems based autonomous transactive energy management of micro-grids	2018	"Rathnakumar, R.; <br>Raju, L.; <br>Soundaryaa, P.; <br>Rathnakumar, R."	"<a href=""/scoping/document/47/809576"">809576</a>"	http://dx.doi.org/10.12732/ijpam.v118i10.12	0
An Autonomous Residential Smart Distribution Board: A Panacea for Demand Side Energy Management for Non-Smart Grid Networks	2018	"Fajemisin, O.; <br>Olakanmi, O.O.; <br>Adetoyi, O.; <br>Fajemisin, O."	"<a href=""/scoping/document/47/809589"">809589</a>"	http://dx.doi.org/10.1515/ijeeps-2017-0117	0
Optimizing sheddable and shiftable residential electricity consumption by incentivized peak and off-peak credit function approach	2018	"Wang, X.; <br>Ampimah, B.C.; <br>Sun, M.; <br>Han, D.; <br>Wang, X."	"<a href=""/scoping/document/47/809590"">809590</a>"	http://dx.doi.org/10.1016/j.apenergy.2017.07.097	0
Residential consumer-centric demand-side management based on energy disaggregation-piloting constrained swarm intelligence: Towards edge computing	2018	"Hu, Y.-C.; <br>Lin, Y.-H.; <br>Hu, Y.-C."	"<a href=""/scoping/document/47/809607"">809607</a>"	http://dx.doi.org/10.3390/s18051365	0
Advanced energy management of a micro-grid using arduino and multi-agent system	2018	"Milton, R.S.; <br>Raju, L.; <br>Morais, A.A.; <br>Milton, R.S."	"<a href=""/scoping/document/47/809609"">809609</a>"	http://dx.doi.org/10.1007/978-981-10-4852-4_6	0
Data Center Control Strategy for Participation in Demand Response Programs	2018	"Muller, D.; <br>Cupelli, L.J.; <br>Schutz, T.; <br>Jahangiri, P.; <br>Fuchs, M.; <br>Monti, A.; <br>Muller, D."	"<a href=""/scoping/document/47/809620"">809620</a>"	http://dx.doi.org/10.1109/TII.2018.2806889	0
The effect of demand response on electricity consumption under the existence of the reference price effect: Evidence from a dynamic pricing experiment in Japan	2018	"Nakamura, E.; <br>Mizutani, F.; <br>Tanaka, T.; <br>Nakamura, E."	"<a href=""/scoping/document/47/809622"">809622</a>"	http://dx.doi.org/10.1016/j.tej.2018.01.004	1
Implementing flexible demand: Real-time price vs. market integration	2018	"Svento, R.; <br>Kühnlenz, F.; <br>Nardelli, P.H.J.; <br>Karhinen, S.; <br>Svento, R."	"<a href=""/scoping/document/47/809623"">809623</a>"	http://dx.doi.org/10.1016/j.energy.2018.02.024	0
Customized time-of-use pricing for small-scale consumers using multi-objective particle swarm optimization	2018	"Mitkas, P.A.; <br>Chrysopoulos, A.; <br>Mitkas, P.A."	"<a href=""/scoping/document/47/809624"">809624</a>"	http://dx.doi.org/10.1080/17512549.2017.1325397	0
Usefulness of economic and energy data at different frequencies for carbon price forecasting in the EU ETS	2018	"Kang, W.; <br>Zhao, X.; <br>Han, M.; <br>Ding, L.; <br>Kang, W."	"<a href=""/scoping/document/47/809626"">809626</a>"	http://dx.doi.org/10.1016/j.apenergy.2018.02.003	0
A decentralized real-time electricity market mechanism for autonomous microgrids	2018	"Wei, J.; <br>Sabounchi, M.; <br>Wei, J."	"<a href=""/scoping/document/47/809631"">809631</a>"	http://dx.doi.org/10.1109/PESGM.2017.8273727	0
Threshold based scheduling of residential distributed energy resources for demand response	2018	"Bhattacharjee, T.; <br>Singabhattu, H.; <br>Jain, A.; <br>Bhattacharjee, T."	"<a href=""/scoping/document/47/809632"">809632</a>"	http://dx.doi.org/10.1109/APPEEC.2017.8308999	0
A cost-benefit study of sizing residential PV and ES systems based on synthesized load profiles	2018	"Lu, N.; <br>Zhu, X.; <br>Henri, G.; <br>Yan, J.; <br>Lu, N."	"<a href=""/scoping/document/47/809637"">809637</a>"	http://dx.doi.org/10.1109/PESGM.2017.8274305	0
Forecasting electricity demand of electric vehicles by analyzing consumers’ charging patterns	2018	"Lee, J.; <br>Moon, H.; <br>Park, S.Y.; <br>Jeong, C.; <br>Lee, J."	"<a href=""/scoping/document/47/809644"">809644</a>"	http://dx.doi.org/10.1016/j.trd.2018.02.009	0
Demand response of customers in Kitakyushu smart community project to critical peak pricing of electricity	2018	"Ushifusa, Y.; <br>Li, Y.; <br>Gao, W.; <br>Ruan, Y.; <br>Ushifusa, Y."	"<a href=""/scoping/document/47/809660"">809660</a>"	http://dx.doi.org/10.1016/j.enbuild.2018.03.029	1
Modulation training method of prediction model for smart grid FastADR power limitation of building air-conditioners	2018	"Morikawa, J.; <br>Ninagawa, C.; <br>Nakamura, A.; <br>Morikawa, J."	"<a href=""/scoping/document/47/810631"">810631</a>"	http://dx.doi.org/10.1002/tee.22533	0
A Stochastic Game Approach for PEV Charging Station Operation in Smart Grid	2018	"Liang, H.; <br>Liu, Y.; <br>Deng, R.; <br>Liang, H."	"<a href=""/scoping/document/47/810634"">810634</a>"	http://dx.doi.org/10.1109/TII.2017.2781226	0
Human in the loop heterogeneous modelling of thermostatically controlled loads for demand side management studies	2018	"Thompson, J.S.; <br>Kleidaras, A.; <br>Kiprakis, A.E.; <br>Thompson, J.S."	"<a href=""/scoping/document/47/810642"">810642</a>"	http://dx.doi.org/10.1016/j.energy.2017.12.120	0
Modulation training method of prediction model for smart grid FastADR power limitation of building air-conditioners	2018	"Ninagawa, C; <br>Nakamura, A; <br>Morikawa, J"	"<a href=""/scoping/document/47/810655"">810655</a>"	http://dx.doi.org/10.1002/tee.22533	0
A Stochastic Game Approach for PEV Charging Station Operation in Smart Grid	2018	"Liu, Y; <br>Deng, RL; <br>Liang, H"	"<a href=""/scoping/document/47/810656"">810656</a>"	http://dx.doi.org/10.1109/TII.2017.2781226	0
Oxygen Consumption (V'O2) and physical Strainas measured by the occupational activity of cleaning personnel	2018	"Frohlich, MJ; <br>Kroidl, RF; <br>Welte, T"	"<a href=""/scoping/document/47/810659"">810659</a>"	http://dx.doi.org/10.1186/s12995-018-0185-x	0
Watt-I-See: Design and Evaluation of an Interactive Installation Using Eco-feedforward Strategies	2018	"Quintal, F; <br>Barreto, M; <br>Jorge, C; <br>Nisi, V; <br>Nunes, NJ"	"<a href=""/scoping/document/47/810669"">810669</a>"	http://dx.doi.org/10.1093/iwc/iwx016	0
Human in the loop heterogeneous modelling of thermostatically controlled loads for demand side management studies	2018	"Kleidaras, A; <br>Kiprakis, AE; <br>Thompson, JS"	"<a href=""/scoping/document/47/810671"">810671</a>"	http://dx.doi.org/10.1016/j.energy.2017.12.120	0
On the nexus of financial development, economic growth, and energy consumption in China: New perspective from a GMM panel VAR approach	2018	"Ouyang, YF; <br>Li, P"	"<a href=""/scoping/document/47/810678"">810678</a>"	http://dx.doi.org/10.1016/j.eneco.2018.02.015	0
Information provision and energy consumption: Evidence from a field experiment	2018	"Aydin, E; <br>Brounen, D; <br>Kok, N"	"<a href=""/scoping/document/47/810680"">810680</a>"	http://dx.doi.org/10.1016/j.eneco.2018.03.008	0
Physical Attestation in the Smart Grid for Distributed State Verification	2018	"Roth, T; <br>McMillin, B"	"<a href=""/scoping/document/47/810681"">810681</a>"	http://dx.doi.org/10.1109/TDSC.2016.2577021	0
3D pulsed chaos lidar system	2018	"Cheng, CH; <br>Chen, CY; <br>Chen, JD; <br>Pan, DK; <br>Ting, KT; <br>Lin, FY"	"<a href=""/scoping/document/47/813707"">813707</a>"	http://dx.doi.org/10.1364/OE.26.012230	0
Dynamic linear modeling of monthly electricity demand in Japan: Time variation of electricity conservation effect	2018	"Honjo, K; <br>Shiraki, H; <br>Ashina, S"	"<a href=""/scoping/document/47/813708"">813708</a>"	http://dx.doi.org/10.1371/journal.pone.0196331	0
Implementing flexible demand: Real-time price vs. market integration	2018	"Kuhnlenz, F; <br>Nardelli, PHJ; <br>Karhinen, S; <br>Svento, R"	"<a href=""/scoping/document/47/813709"">813709</a>"	http://dx.doi.org/10.1016/j.energy.2018.02.024	0
